"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.065824,-0.032611,0.03,6599.3,0.030741,0.026027,4.312e-22
0.065895,-0.032656,0.03,-672.68,0.030934,0.016813,8.1111e-23
0.065967,-0.032752,0.03,-28840,0.043181,0.015795,-3.5954e-23
0.065888,-0.032888,0.03,23594,0.10183,0.0020262,-2.5167e-22
0.06576,-0.032878,0.03,45567,0.14629,-0.026983,-2.2572e-22
0.065105,-0.032342,0.03,752.92,0.03107,0.026173,9.5747e-22
0.065111,-0.032333,0.03,725.11,0.022268,0.031719,1.041e-13
0.065216,-0.032425,0.03,804.3,0.041699,0.019671,1.1868e-21
0.065315,-0.032504,0.03,1039.1,0.05472,0.011823,2.6027e-24
0.065403,-0.032578,0.03,1490.3,0.070419,0.0026273,4.9892e-22
0.06548,-0.032649,0.03,2912.4,0.089083,-0.0078515,-3.9206e-22
0.065547,-0.032719,0.03,4752.4,0.10998,-0.018654,-7.6679e-22
0.065606,-0.032787,0.03,5926.1,0.13203,-0.028924,-5.5719e-22
0.065671,-0.032853,0.03,22311,0.14909,-0.035339,-2.0518e-22
0.065403,-0.032376,0.03,-115.39,0.022298,0.031921,-9.8231e-28
0.065409,-0.032368,0.03,-116.61,0.023638,0.03089,-7.8324e-22
0.065507,-0.032428,0.03,-108.97,0.025121,0.029849,-7.1861e-22
0.065597,-0.032481,0.03,-92.191,0.027005,0.028511,-7.2168e-22
0.065682,-0.032525,0.03,-207.88,0.028814,0.027121,-1.576e-21
0.065761,-0.032562,0.03,-349.49,0.032387,0.024666,3.4824e-22
0.065839,-0.032596,0.03,7169.9,0.03362,0.023566,2.4616e-23
0.06591,-0.032647,0.03,-441.98,0.032327,0.014754,-4.5691e-23
0.065982,-0.032755,0.03,-22119,0.045326,0.014692,3.3929e-23
0.065897,-0.032902,0.03,22827,0.10861,-0.00012148,1.0475e-22
0.065759,-0.0329,0.03,38700,0.15661,-0.030729,1.1358e-22
0.064977,-0.03226,0.03,700.3,0.030448,0.026437,5.9895e-22
0.064982,-0.032252,0.03,680.19,0.022212,0.03163,5.2048e-14
0.065099,-0.032351,0.03,731.22,0.040369,0.020371,8.1997e-23
0.065209,-0.032436,0.03,849.36,0.052451,0.01307,-7.7369e-22
0.065307,-0.032516,0.03,1187.5,0.067007,0.0044562,-2.121e-23
0.065393,-0.032593,0.03,1770.8,0.084175,-0.0053307,4.6563e-22
0.065468,-0.032667,0.03,3157.3,0.10396,-0.01602,-1.0551e-21
0.065533,-0.032739,0.03,4948.4,0.12515,-0.026415,-4.7617e-22
0.065592,-0.032811,0.03,6227.1,0.14608,-0.035372,-2.6618e-22
0.065662,-0.032878,0.03,18724,0.16106,-0.04003,1.0572e-24
0.065304,-0.032299,0.03,-120.08,0.022245,0.031852,2.6024e-14
0.06531,-0.032291,0.03,-121.8,0.023624,0.030793,2.2076e-22
0.065416,-0.032359,0.03,-111.86,0.025157,0.029729,-1.1845e-21
0.065515,-0.032418,0.03,-107.49,0.026864,0.028515,-9.0872e-23
0.065607,-0.032468,0.03,-67.285,0.02909,0.026932,-5.8649e-23
0.065693,-0.03251,0.03,-186.9,0.031273,0.025214,6.4851e-22
0.065775,-0.032544,0.03,-124.47,0.035223,0.022373,3.5026e-22
0.065855,-0.03258,0.03,7324.2,0.036626,0.020898,8.4946e-23
0.065928,-0.032638,0.03,-398.49,0.033744,0.01287,-5.4161e-22
0.065997,-0.032759,0.03,-17034,0.047535,0.013719,-9.8396e-22
0.065907,-0.032915,0.03,21496,0.11496,-0.0020368,-8.6825e-24
0.065759,-0.032923,0.03,32568,0.16585,-0.033825,-1.0701e-23
0.064836,-0.032171,0.03,654.89,0.029869,0.026662,-4.5814e-22
0.064841,-0.032162,0.03,639.12,0.02215,0.031533,5.2048e-14
0.064971,-0.03227,0.03,671.48,0.039146,0.020999,-6.9161e-22
0.065092,-0.032362,0.03,751.47,0.050408,0.014182,-7.7247e-22
